DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
2468482.24,41.64,16.02,41.14,255.01,241.93,0,0,0,0,0,
2468472.22,71.28,4.02,71.31,60.6,241.93,0,0,0,0,0,
2468462.19,253.25,15.92,259.61,251.73,259.2,0,0,0,0,0,
2468452.14,241.6,9.24,236.57,154.8,241.93,0,1216.63,40.14,1211.24,40.14,
2468442.10,326.68,11.95,327.1,194.67,259.2,0,454.2,250.88,444.78,250.88,
2468432.08,23.42,0.85,20.41,14.04,241.93,0,0,0,0,0,
2468422.06,18.86,1.18,18.57,18.73,241.93,0,0,0,0,0,
2468412.04,52.6,4.67,47.83,61.71,259.2,0,0,0,0,0,
2468401.99,40.91,13.83,36.26,215.54,241.93,0,0,0,0,0,
2468391.96,30.85,36.3,24.96,577.66,259.2,0,0,0,0,0,
2468381.93,42.32,1.71,41.68,25.59,241.93,0,0,0,0,0,
2468371.87,138.41,13.76,137.43,217.05,241.93,0,0,0,0,0,
2468361.83,315.41,13.69,317.84,225.96,259.2,0,351.58,0,346.58,0,
2468351.81,144.27,0.53,140.68,7.39,241.93,0,1314.83,291.02,1297.68,291.02,
2468341.72,278.78,11.18,278.46,180.44,259.2,0,0,0,0,0,
2468331.70,20.83,1.33,17.22,19.33,241.93,0,0,0,0,0,
2468321.67,57.86,4.82,52.82,65.97,241.93,0,0,0,0,0,
2468311.65,47.06,15.45,40.2,241.81,259.2,0,0,0,0,0,
2468301.62,29.82,34.96,26.23,556.81,241.93,0,0,0,0,0,
2468291.60,44.55,1.84,46.02,28.22,259.2,0,0,0,0,0,
2468281.57,141.36,13.79,141.52,216.41,241.95,0,0,0,0,0,
2468271.51,311.74,13.53,315.93,223.64,241.95,0,457.17,0,452.07,0,
2468261.48,144.91,1.06,141.12,15.82,259.2,0,1205.6,291.02,1196.39,291.02,
2468251.42,282.76,11.07,279.23,184.07,241.93,0,0,0,0,0,
2468241.40,18.77,1.09,17.56,17.28,259.2,0,0,0,0,0,
2468231.38,34.77,1.7,33.07,20.63,241.93,0,0,0,0,0,
2468221.36,55.85,4.59,49.53,60.13,241.93,0,0,0,0,0,
2468211.34,23.07,30.3,19.1,482.1,259.2,0,0,0,0,0,
2468201.31,43.2,19.47,39.41,309.2,241.93,0,0,0,0,0,
2468191.29,66.14,3.56,63.4,53.67,259.23,0,0,0,0,0,
2468181.26,207.32,14.82,208.41,232.97,241.93,0,0,0,0,0,
